종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
051910,LG화학,"812,000","5,000","0.62","214,822,009,780","57,320,982,516,000"
079550,LIG넥스원,"43,600","-850","1.91","13,609,709,350","959,200,000,000"
006260,LS,"71,700","-800","1.10","34,141,699,600","2,308,740,000,000"
010120,LS ELECTRIC,"57,600","-300","0.52","4,470,661,800","1,728,000,000,000"
383800,LX홀딩스,"10,400","-300","2.80","28,287,569,050","793,319,176,000"
035420,NAVER,"362,000","-1,000","0.28","106,207,397,500","59,463,348,990,000"
005940,NH투자증권,"13,150","-50","0.38","10,244,342,450","3,700,526,864,050"
010060,OCI,"130,500","-3,000","2.25","81,847,456,000","3,112,342,915,500"
005490,POSCO,"346,500","-6,500","1.84","210,768,973,648","30,210,238,327,500"
010950,S-Oil,"103,500","1,000","0.98","67,141,177,500","11,652,318,972,000"
034730,SK,"272,000","1,500","0.55","52,519,182,500","19,138,000,784,000"
011790,SKC,"134,000","500","0.37","20,183,703,500","5,074,351,932,000"
001740,SK네트웍스,"6,030","-130","2.11","8,849,331,010","1,496,571,511,410"
006120,SK디스커버리,"53,500","0","0.00","3,336,080,800","1,018,525,242,500"
326030,SK바이오팜,"113,000","500","0.44","24,870,008,000","8,849,397,250,000"
096770,SK이노베이션,"272,500","5,500","2.06","148,943,378,780","25,196,866,190,000"
285130,SK케미칼,"259,000","2,500","0.97","21,025,741,000","3,043,611,564,000"
017670,SK텔레콤,"328,500","-1,500","0.45","83,026,216,500","23,671,756,975,500"
000660,SK하이닉스,"129,000","3,000","2.38","431,738,907,500","93,912,305,085,000"
064960,SNT모티브,"67,300","900","1.36","8,506,531,800","984,137,052,800"
005610,SPC삼립,"90,300","-900","0.99","2,602,089,000","779,199,512,700"
035250,강원랜드,"29,100","-300","1.02","24,589,091,150","6,225,668,550,000"
010130,고려아연,"441,000","-4,500","1.01","24,178,962,000","8,321,670,000,000"
011780,금호석유,"236,000","500","0.21","55,433,890,000","7,190,375,076,000"
073240,금호타이어,"5,210","-20","0.38","3,235,138,950","1,496,626,095,270"
000270,기아,"87,000","700","0.81","257,147,646,800","35,266,611,189,000"
024110,기업은행,"10,800","0","0.00","22,203,641,850","8,038,446,339,600"
008350,남선알미늄,"3,755","40","1.08","9,522,806,630","413,722,482,950"
002350,넥센타이어,"8,500","150","1.80","1,274,336,220","830,176,954,500"
251270,넷마블,"138,500","-1,000","0.72","19,914,145,500","11,904,560,027,000"
006280,녹십자,"327,500","2,000","0.61","26,590,291,500","3,827,341,195,000"
005250,녹십자홀딩스,"33,950","650","1.95","7,667,759,750","1,596,607,729,500"
004370,농심,"301,500","-3,000","0.99","12,987,190,000","1,833,916,563,000"
001680,대상,"28,950","-250","0.86","8,094,785,900","1,003,060,323,750"
047040,대우건설,"8,920","50","0.56","152,093,409,500","3,707,353,930,960"
042660,대우조선해양,"37,500","300","0.81","23,149,344,100","4,023,400,087,500"
003090,대웅,"36,850","150","0.41","6,984,830,850","2,142,531,963,000"
069620,대웅제약,"158,000","2,000","1.28","9,160,675,500","1,830,678,850,000"
006650,대한유화,"261,000","1,000","0.38","16,890,158,000","1,696,500,000,000"
003490,대한항공,"33,500","-150","0.45","160,813,782,250","11,651,997,637,500"
192080,더블유게임즈,"67,800","800","1.19","5,392,749,500","1,245,791,235,600"
001230,동국제강,"22,200","-650","2.84","40,509,782,800","2,118,606,761,400"
026960,동서,"31,100","250","0.81","6,158,336,150","3,100,670,000,000"
049770,동원F&B,"234,500","-2,500","1.05","1,851,628,500","904,964,578,000"
014820,동원시스템즈,"45,150","350","0.78","1,622,957,150","1,156,675,771,650"
000150,두산,"85,900","-4,100","4.56","22,434,579,100","1,419,397,426,500"
241560,두산밥캣,"52,600","-2,200","4.01","30,353,173,100","5,273,106,131,600"
042670,두산인프라코어,"14,600","100","0.69","115,908,177,300","3,310,249,824,000"
